,idx,class_label,presence_terminal_loop,start_loop_upperhalf_col,highest_point_loop_upperhalf_row,highest_point_loop_upperhalf_col,loop_length,loop_width,gap_start,palindrome_score,asymmetric,large_asymmetric_bulge,largest_asym_bulge_strand_location,largest_asym_bulge_sequence_location,stem_begin,stem_end,stem_length,total_length,base_pairs_in_stem,base_pairs_wobbles_in_stem,AU_pair_begin_maturemiRNA,UGU
3168,3168,1,True,3.0,4.0,2.0,18.0,4.0,,0.9629629629629629,False,,,,26,4,22,26,0.4782608695652174,0.5652173913043478,True,False
3169,3169,1,True,3.0,4.0,2.0,18.0,4.0,,0.6341463414634146,False,,,,40,4,36,40,0.5675675675675675,0.5945945945945946,False,False
3170,3170,1,False,,,,,,3.0,0.63,False,1.0,lower,46.0,99,0,99,99,0.46464646464646464,0.5252525252525253,False,False
3171,3171,0,True,5.0,2.0,3.0,22.0,6.0,,0.7560975609756098,False,2.0,upper,23.0,40,6,34,40,0.17142857142857143,0.2571428571428571,False,False
3172,3172,1,True,3.0,4.0,2.0,18.0,4.0,,0.72,False,3.0,upper,25.0,74,4,70,74,0.49295774647887325,0.5633802816901409,True,False
3173,3173,0,True,21.0,0.0,18.0,25.0,22.0,,0.7121212121212122,False,7.0,upper,55.0,65,22,43,65,0.3181818181818182,0.4318181818181818,True,False
3174,3174,0,True,10.0,0.0,6.0,25.0,11.0,,0.6764705882352942,False,4.0,lower,29.0,33,11,22,33,0.17391304347826086,0.30434782608695654,False,True
3175,3175,1,True,2.0,4.0,1.0,18.0,3.0,,0.9310344827586207,False,,,,28,3,25,28,0.7692307692307693,0.8461538461538461,True,True
3176,3176,0,True,4.0,2.0,2.0,22.0,5.0,,0.7586206896551724,False,,,,57,5,52,57,0.5283018867924528,0.660377358490566,False,True
3177,3177,1,False,,,,,,6.0,0.4074074074074074,False,4.0,upper,17.0,53,0,53,53,0.07547169811320754,0.09433962264150944,False,False
3178,3178,1,True,6.0,0.0,3.0,25.0,7.0,,0.8522727272727273,False,,,,87,7,80,87,0.6666666666666666,0.7654320987654321,True,False
3179,3179,0,False,,,,,,7.0,0.22950819672131148,True,22.0,lower,49.0,60,0,60,60,0.05,0.06666666666666667,False,False
